Sr no,Medicine name,Expiry date,Quantity
1,Acetaminophen,2024-08-01,100
2,Ibuprofen,2024-07-15,150
3,Loratadine,2024-09-20,200
4,Cetirizine,2024-06-30,80
5,Ranitidine,2024-08-10,120
6,Omeprazole,2024-07-25,90
7,Aspirin,2024-08-05,180
8,Amoxicillin,2024-07-31,300
9,Ciprofloxacin,2024-09-15,250
10,Atorvastatin,2024-07-20,150
11,Simvastatin,2024-08-15,100
12,Metformin,2024-09-01,200
13,Warfarin,2024-07-10,80
14,Lisinopril,2024-08-20,150
15,Levothyroxine,2024-09-30,120
16,Furosemide,2024-07-05,100
17,Hydrochlorothiazide,2024-08-25,200
18,Losartan,2024-07-15,150
19,Atenolol,2024-09-10,100
20,Albuterol,2024-08-30,80
21,Cephalexin,2024-07-20,150
22,Azithromycin,2024-09-05,200
23,Metoprolol,2024-08-10,120
24,Fluoxetine,2024-07-15,90
25,Doxycycline,2024-09-20,180
26,Clonazepam,2024-08-25,300
27,Lorazepam,2024-07-31,250
28,Cyclobenzaprine,2024-09-15,150
29,Prednisone,2024-08-20,100
30,Tramadol,2024-07-01,200
31,Sertraline,2024-09-30,150
32,Gabapentin,2024-08-05,100
33,Amitriptyline,2024-07-10,80
34,Hydroxyzine,2024-09-10,120
35,Bupropion,2024-07-15,90
36,Mirtazapine,2024-08-25,180
37,Escitalopram,2024-09-05,300
38,Phentermine,2024-07-20,250
39,Trazodone,2024-08-10,150
40,Duloxetine,2024-09-20,200
41,Paroxetine,2024-07-31,120
42,Clonidine,2024-08-15,100
43,Oxycodone,2024-09-25,80
44,Fentanyl,2024-07-05,150
45,Morphine,2024-08-30,90
46,Methadone,2024-07-10,180
47,Codeine,2024-09-10,300
48,Hydromorphone,2024-07-20,250
49,Benzonatate,2024-09-15,150
50,Dextromethorphan,2024-08-05,100
51,Acyclovir,2024-07-31,120
52,Valacyclovir,2024-09-20,200
53,Oseltamivir,2024-08-10,80
54,Famciclovir,2024-07-15,150
55,Tamiflu,2024-09-25,90
56,Nystatin,2024-08-30,180
57,Clotrimazole,2024-07-10,300
58,Miconazole,2024-09-05,250
59,Ketoconazole,2024-08-15,150
60,Fluconazole,2024-07-20,100
61,Terbinafine,2024-09-10,120
62,Hydrocortisone,2024-08-05,80
63,Desonide,2024-07-31,150
64,Clobetasol,2024-09-20,200
65,Triamcinolone,2024-08-10,90
66,Fluticasone,2024-07-15,180
67,Betamethasone,2024-09-25,300
68,Mometasone,2024-08-30,250
69,Prednisolone,2024-07-10,150
70,Dexamethasone,2024-09-05,100
71,Loratadine,2024-08-15,120
72,Cetirizine,2024-07-20,80
73,Ranitidine,2024-09-10,200
74,Omeprazole,2024-08-05,150
75,Aspirin,2024-07-31,100
76,Amoxicillin,2024-09-20,180
77,Ciprofloxacin,2024-08-10,300
78,Atorvastatin,2024-07-25,250
79,Simvastatin,2024-09-30,150
80,Metformin,2024-08-20,100
81,Warfarin,2024-07-01,120
82,Lisinopril,2024-09-15,90
83,Levothyroxine,2024-08-30,180
84,Furosemide,2024-07-10,300
85,Hydrochlorothiazide,2024-09-25,250
86,Losartan,2024-08-05,150
87,Atenolol,2024-07-31,120
88,Albuterol,2024-09-20,100
89,Cephalexin,2024-08-10,80
90,Azithromycin,2024-07-15,200
91,Metoprolol,2024-09-10,150
92,Fluoxetine,2024-08-25,100
93,Doxycycline,2024-07-20,180
94,Clonazepam,2024-09-05,300
95,Lorazepam,2024-08-30,250
96,Cyclobenzaprine,2024-09-20,150
97,Paroxetine,2024-07-31,120
98,Clonidine,2024-08-15,100
99,Oxycodone,2024-09-25,80
100,Fentanyl,2024-07-05,150
101,Cephalexin,2024-08-10,120
102,Azithromycin,2024-07-15,200
103,Metoprolol,2024-09-10,150
104,Fluoxetine,2024-08-25,100
105,Doxycycline,2024-07-20,180
106,Clonazepam,2024-09-05,300
107,Lorazepam,2024-08-30,250
108,Cyclobenzaprine,2024-09-20,150
109,Prednisone,2024-08-20,100
110,Tramadol,2024-07-01,200
111,Sertraline,2024-09-30,150
112,Gabapentin,2024-08-05,100
113,Amitriptyline,2024-07-10,80
114,Hydroxyzine,2024-09-10,120
115,Bupropion,2024-07-15,90
116,Mirtazapine,2024-08-25,180
117,Escitalopram,2024-09-05,300
118,Phentermine,2024-07-20,250
119,Trazodone,2024-08-10,150
120,Duloxetine,2024-09-20,200
121,Paroxetine,2024-07-31,120
122,Clonidine,2024-08-15,100
123,Oxycodone,2024-09-25,80
124,Fentanyl,2024-07-05,150
125,Morphine,2024-08-30,90
126,Methadone,2024-07-10,180
127,Codeine,2024-09-10,300
128,Hydromorphone,2024-07-20,250
129,Benzonatate,2024-09-15,150
130,Dextromethorphan,2024-08-05,100
131,Acyclovir,2024-07-31,120
132,Valacyclovir,2024-09-20,200
133,Oseltamivir,2024-08-10,80
134,Famciclovir,2024-07-15,150
135,Tamiflu,2024-09-25,90
136,Nystatin,2024-08-30,180
137,Clotrimazole,2024-07-10,300
138,Miconazole,2024-09-05,250
139,Ketoconazole,2024-08-15,150
140,Fluconazole,2024-07-20,100
141,Terbinafine,2024-09-10,120
142,Hydrocortisone,2024-08-05,80
143,Desonide,2024-07-31,150
144,Clobetasol,2024-09-20,200
145,Triamcinolone,2024-08-10,90
146,Fluticasone,2024-07-15,180
147,Betamethasone,2024-09-25,300
148,Mometasone,2024-08-30,250
149,Prednisolone,2024-07-10,150
150,Dexamethasone,2024-09-05,100
151,Loratadine,2024-08-15,120
152,Cetirizine,2024-07-20,80
153,Ranitidine,2024-09-10,200
154,Omeprazole,2024-08-05,150
155,Aspirin,2024-07-31,100
156,Amoxicillin,2024-09-20,180
157,Ciprofloxacin,2024-08-10,300
158,Atorvastatin,2024-07-25,250
159,Simvastatin,2024-09-30,150
160,Metformin,2024-08-20,100
161,Warfarin,2024-07-01,120
162,Lisinopril,2024-09-15,90
163,Levothyroxine,2024-08-30,180
164,Furosemide,2024-07-10,300
165,Hydrochlorothiazide,2024-09-25,250
166,Losartan,2024-08-05,150
167,Atenolol,2024-07-31,120
168,Albuterol,2024-09-20,100
169,Cephalexin,2024-08-10,80
170,Azithromycin,2024-07-15,200
171,Metoprolol,2024-09-10,150
172,Fluoxetine,2024-08-25,100
173,Doxycycline,2024-07-20,180
174,Clonazepam,2024-09-05,300
175,Lorazepam,2024-08-30,250
176,Cyclobenzaprine,2024-09-20,150
177,Prednisone,2024-08-20,100
178,Tramadol,2024-07-01,200
179,Sertraline,2024-09-30,150
180,Gabapentin,2024-08-05,100
181,Amitriptyline,2024-07-10,80
182,Hydroxyzine,2024-09-10,120
183,Bupropion,2024-07-15,90
184,Mirtazapine,2024-08-25,180
185,Escitalopram,2024-09-05,300
186,Phentermine,2024-07-20,250
187,Trazodone,2024-08-10,150
188,Duloxetine,2024-09-20,200
189,Paroxetine,2024-07-31,120
190,Clonidine,2024-08-15,100
191,Oxycodone,2024-09-25,80
192,Fentanyl,2024-07-05,150
193,Morphine,2024-08-30,90
194,Methadone,2024-07-10,180
195,Codeine,2024-09-10,300
196,Hydromorphone,2024-07-20,250
197,Benzonatate,2024-09-15,150
198,Dextromethorphan,2024-08-05,100
199,Acyclovir,2024-07-31,120
200,Valacyclovir,2024-09-20,200
201,Dexamethasone,2024-08-15,120
202,Ceftriaxone,2024-07-20,80
203,Levofloxacin,2024-09-10,200
204,Furosemide,2024-08-05,150
205,Amoxicillin,2024-07-31,100
206,Cefixime,2024-09-20,180
207,Clarithromycin,2024-08-10,300
208,Fluconazole,2024-07-25,250
209,Rifaximin,2024-09-30,150
210,Azithromycin,2024-08-20,100
211,Naproxen,2024-07-01,120
212,Metronidazole,2024-09-15,90
213,Loperamide,2024-08-30,180
214,Acyclovir,2024-07-10,300
215,Valacyclovir,2024-09-25,250
216,Gabapentin,2024-08-05,150
217,Pregabalin,2024-07-31,120
218,Oxcarbazepine,2024-09-20,100
219,Phenytoin,2024-08-10,80
220,Carbamazepine,2024-07-15,200
221,Levetiracetam,2024-09-10,150
222,Topiramate,2024-08-25,100
223,Lamotrigine,2024-07-20,180
224,Phenobarbital,2024-09-05,300
225,Alprazolam,2024-08-30,250
226,Lorazepam,2024-09-20,150
227,Diazepam,2024-08-15,100
228,Clonazepam,2024-07-05,80
229,Buspirone,2024-09-25,150
230,Venlafaxine,2024-08-30,90
231,Duloxetine,2024-07-10,180
232,Fluoxetine,2024-09-10,300
233,Citalopram,2024-07-20,250
234,Escitalopram,2024-09-15,150
235,Sertraline,2024-08-05,100
236,Paroxetine,2024-07-31,120
237,Trazodone,2024-09-20,200
238,Mirtazapine,2024-08-10,150
239,Amitriptyline,2024-07-15,100
240,Nortriptyline,2024-09-05,180
241,Desipramine,2024-08-30,300
242,Imipramine,2024-07-10,250
243,Tranylcypromine,2024-09-25,150
244,Selegiline,2024-08-20,100
245,Fluvoxamine,2024-07-31,120
246,Escitalopram,2024-09-10,200
247,Clomipramine,2024-08-15,150
248,Doxepin,2024-07-05,100
249,Amoxapine,2024-09-20,90
250,Maprotiline,2024-08-25,180




